time,"price",return,pecentage return
2014-01-27,"2,215.92",-0.013252111,-1.33%
2014-01-28,"2,219.86",0.001778043,0.18%
2014-01-29,"2,227.78",0.003567793,0.36%
2014-01-30,"2,202.45",-0.011370063,-1.14%
2014-02-07,"2,212.48",0.004554019,0.46%
2014-02-10,"2,267.53",0.024881581,2.49%
2014-02-11,"2,285.56",0.007951383,0.80%
2014-02-12,"2,291.25",0.002489543,0.25%
2014-02-13,"2,279.55",-0.005106383,-0.51%
2014-02-14,"2,295.58",0.00703209,0.70%
2014-02-17,"2,311.65",0.007000409,0.70%
2014-02-18,"2,282.44",-0.012635996,-1.26%
2014-02-19,"2,308.66",0.011487706,1.15%
2014-02-20,"2,287.44",-0.009191479,-0.92%
2014-02-21,"2,264.29",-0.010120484,-1.01%
2014-02-24,"2,214.51",-0.021984816,-2.20%
2014-02-25,"2,157.91",-0.025558701,-2.56%
2014-02-26,"2,163.41",0.002548762,0.25%
2014-02-27,"2,154.11",-0.004298769,-0.43%
2014-02-28,"2,178.97",0.011540729,1.15%
2014-03-03,"2,190.37",0.00523183,0.52%
2014-03-04,"2,184.27",-0.002784918,-0.28%
2014-03-05,"2,163.98",-0.009289145,-0.93%
2014-03-06,"2,173.63",0.004459376,0.45%
2014-03-07,"2,168.36",-0.002424516,-0.24%
2014-03-10,"2,097.79",-0.032545334,-3.25%
2014-03-11,"2,108.66",0.005181644,0.52%
2014-03-12,"2,114.13",0.002594064,0.26%
2014-03-13,"2,140.33",0.012392805,1.24%
2014-03-14,"2,122.84",-0.008171637,-0.82%
2014-03-17,"2,143.04",0.009515555,0.95%
2014-03-18,"2,138.13",-0.002291138,-0.23%
2014-03-19,"2,120.87",-0.008072475,-0.81%
2014-03-20,"2,086.97",-0.015984007,-1.60%
2014-03-21,"2,158.80",0.034418319,3.44%
2014-03-24,"2,176.55",0.00822216,0.82%
2014-03-25,"2,174.44",-0.000969424,-0.10%
2014-03-26,"2,171.05",-0.001559022,-0.16%
2014-03-27,"2,155.71",-0.007065706,-0.71%
2014-03-28,"2,151.97",-0.001734927,-0.17%
2014-03-31,"2,146.31",-0.002630148,-0.26%
2014-04-01,"2,163.12",0.007832047,0.78%
2014-04-02,"2,180.73",0.008141019,0.81%
2014-04-03,"2,165.01",-0.007208595,-0.72%
2014-04-04,"2,185.47",0.009450303,0.95%
2014-04-08,"2,237.32",0.023724874,2.37%
2014-04-09,"2,238.62",0.000581052,0.06%
2014-04-10,"2,273.76",0.015697171,1.57%
2014-04-11,"2,270.67",-0.001358982,-0.14%
2014-04-14,"2,268.61",-0.000907221,-0.09%
2014-04-15,"2,229.46",-0.017257263,-1.73%
2014-04-16,"2,232.53",0.001377015,0.14%
2014-04-17,"2,224.80",-0.003462439,-0.35%
2014-04-18,"2,224.48",-0.000143833,-0.01%
2014-04-21,"2,187.25",-0.016736496,-1.67%
2014-04-22,"2,196.80",0.004366213,0.44%
2014-04-23,"2,194.67",-0.000969592,-0.10%
2014-04-24,"2,190.47",-0.001913727,-0.19%
2014-04-25,"2,167.83",-0.010335681,-1.03%
2014-04-28,"2,134.97",-0.015158015,-1.52%
2014-04-29,"2,158.47",0.01100718,1.10%
2014-04-30,"2,158.66",8.80253E-05,0.01%
2014-05-05,"2,156.47",-0.001014518,-0.10%
2014-05-06,"2,157.33",0.0003988,0.04%
2014-05-07,"2,137.32",-0.009275354,-0.93%
2014-05-08,"2,135.50",-0.000851534,-0.09%
2014-05-09,"2,133.91",-0.000744556,-0.07%
2014-05-12,"2,180.05",0.02162228,2.16%
2014-05-13,"2,174.85",-0.002385266,-0.24%
2014-05-14,"2,172.37",-0.001140309,-0.11%
2014-05-15,"2,144.08",-0.013022643,-1.30%
2014-05-16,"2,145.95",0.000872169,0.09%
2014-05-19,"2,115.14",-0.014357278,-1.44%
2014-05-20,"2,115.77",0.000297853,0.03%
2014-05-21,"2,135.91",0.009518993,0.95%
2014-05-22,"2,130.87",-0.00235965,-0.24%
2014-05-23,"2,148.41",0.00823138,0.82%
2014-05-26,"2,155.98",0.003523536,0.35%
2014-05-27,"2,147.28",-0.004035288,-0.40%
2014-05-28,"2,169.35",0.010278119,1.03%
2014-05-29,"2,155.16",-0.00654113,-0.65%
2014-05-30,"2,156.46",0.000603203,0.06%
2014-06-03,"2,149.92",-0.003032748,-0.30%
2014-06-04,"2,128.27",-0.010070142,-1.01%
2014-06-05,"2,150.60",0.01049209,1.05%
2014-06-06,"2,134.72",-0.007383986,-0.74%
2014-06-09,"2,134.28",-0.000206116,-0.02%
2014-06-10,"2,161.27",0.012645951,1.26%
2014-06-11,"2,160.77",-0.000231345,-0.02%
2014-06-12,"2,153.41",-0.003406193,-0.34%
2014-06-13,"2,176.24",0.01060179,1.06%
2014-06-16,"2,191.86",0.007177517,0.72%
2014-06-17,"2,169.67",-0.010123822,-1.01%
2014-06-18,"2,160.24",-0.004346283,-0.43%
2014-06-19,"2,126.91",-0.015428841,-1.54%
2014-06-20,"2,136.73",0.004617027,0.46%
2014-06-23,"2,134.11",-0.001226173,-0.12%
2014-06-24,"2,144.82",0.005018485,0.50%
2014-06-25,"2,133.37",-0.005338443,-0.53%
2014-06-26,"2,149.08",0.007363936,0.74%
2014-06-27,"2,150.26",0.000549072,0.05%
2014-06-30,"2,165.12",0.006910792,0.69%
2014-07-01,"2,164.56",-0.000258646,-0.03%
2014-07-02,"2,170.87",0.002915142,0.29%
2014-07-03,"2,180.19",0.00429321,0.43%
2014-07-04,"2,178.70",-0.000683427,-0.07%
2014-07-07,"2,176.29",-0.001106164,-0.11%
2014-07-08,"2,180.47",0.0019207,0.19%
2014-07-09,"2,148.71",-0.014565667,-1.46%
2014-07-10,"2,142.85",-0.002727218,-0.27%
2014-07-11,"2,148.01",0.002408008,0.24%
